Name,Faculty,Document,Year,Link Detail Title
Fitri Arnia,FT,A content-based image retrieval system for visually protected image databases,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:AvfA0Oy_GE0C
Fitri Arnia,FT,Effective and fast binarization method for combined degradation on ancient documents,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:NXb4pA-qfm4C
Fitri Arnia,FT,Advances in cross-spectral iris recognition using integrated gradientface-based normalization,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:0izLItjtcgwC
Fitri Arnia,FT,Moment invariant-based features for Jawi character recognition.,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:FAceZFleit8C
Fitri Arnia,FT,Skin segmentation based on improved thresholding method,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:PVjk1bu6vJQC
Fitri Arnia,FT,Histogram statistics and GLCM features of breast thermograms for early cancer detection,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:5qfkUJPXOUwC
Fitri Arnia,FT,Deteksi Pemalsuan Citra dengan Teknik Copy-Move Menggunakan Metode Ordinal Measure dari Koefisien Discrete Cosine Transform,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:KUbvn5osdkgC
Fitri Arnia,FT,Performance comparison of denoising methods for historical documents,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:XoXfffV-tXoC
Fitri Arnia,FT,A secure online image trading system for untrusted cloud environments,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:uWiczbcajpAC
Fitri Arnia,FT,Analisis Kinerja Metode Binerisasi Pada Proses Pemisahan Text Dari Background Menggunakan Perangkat Lunak OCR,2012,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:L7CI7m0gUJcC
Fitri Arnia,FT,The use of DCT coefficient sign for content-based copy detection,2007,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:tzM49s52ZIMC
Fitri Arnia,FT,Improving the performance of cbir on islamic women apparels using normalized phog,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:PoWvk5oyLR8C
Fitri Arnia,FT,Secure online image trading scheme using DCT coefficients and moment invariants feature,2013,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:uc_IGeMz5qoC
Fitri Arnia,FT,Improved iris matching technique using reduced sized of ordinal measure of DCT coefficients,2013,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:fEOibwPWpKIC
Fitri Arnia,FT,Implementasi Steganografi dengan Metode LSB,2009,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:vDijr-p_gm4C
Fitri Arnia,FT,Compressed domain based image authentication for JPEG coded images,2005,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:2KloaMYe4IUC
Fitri Arnia,FT,Improved cross-spectral Iris matching using multi-scale Weberface and gabor local binary pattern,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:_FM0Bhl9EiAC
Fitri Arnia,FT,Histogram equalization smoothing for determining threshold accuracy on ancient document image binarization,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:hCrLmN-GePgC
Fitri Arnia,FT,Pengenalan Karakter Plat Nomor Kendaraan Bermotor Menggunakan Zoning dan Fitur Freeman Chain Code,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:ClCfbGk0d_YC
Fitri Arnia,FT,Estimating fish weight based on visual captured,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:_axFR9aDTf0C
Fitri Arnia,FT,"Pengukuran Badan Ikan Berupa Estimasi Panjang, Lebar, dan Tinggi Berdasarkan Visual Capture",2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:0N-VGjzr574C
Fitri Arnia,FT,Effectiveness of MPEG-7 color features in clothing retrieval,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:SpbeaW3--B0C
Fitri Arnia,FT,Penerapan Deskriptor Warna Dominan untuk Temu Kembali Citra Busana pada Peranti Bergerak,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:e_rmSamDkqQC
Fitri Arnia,FT,Pengenalan karakter tulisan tangan jawi menggunakan metode new relative context dan SVM,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:tuHXwOkdijsC
Fitri Arnia,FT,Iris recognition method based on ordinal measure of discrete cosine transform coefficients,2012,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:35r97b3x0nAC
Fitri Arnia,FT,Studi Pencocokan Plat Kendaraan Dengan Metode Phase Only Correlation,2011,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:ILKRHgRFtOwC
Fitri Arnia,FT,Cross-spectral iris recognition using phase-based matching and homomorphic filtering,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:IUKN3-7HHlwC
Fitri Arnia,FT,A novel approach to multi-class atopic dermatitis disease severity scoring using multi-class SVM,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:umqufdRvDiIC
Fitri Arnia,FT,Karakterisasi Kematangan Buah Kopi Berdasarkan Warna Kulit Kopi Menggunakan Histogram dan Momen Warna,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:GtLg2Ama23sC
Fitri Arnia,FT,Improvement of binarization performance using local otsu thresholding,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:9pM33mqn1YgC
Fitri Arnia,FT,DHJ: A database of handwritten Jawi for recognition research,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:edDO8Oi4QzsC
Fitri Arnia,FT,Binarization of Ancient Document Images based on Multipeak Histogram Assumption,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:i2xiXl-TujoC
Fitri Arnia,FT,Estimasi Panjang dan Lebar Ikan Berdasarkan Visual Capture,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:yMeIxYmEMEAC
Fitri Arnia,FT,Temu Kembali Citra Busana Muslimah Berdasarkan Bentuk Menggunakan Curvature Scale Space (CSS),2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:k8Z6L05lTy4C
Fitri Arnia,FT,Penggunaan Fitur Momen Zernike Untuk Pengenalan Karakter Jawi Cetak,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:LI9QrySNdTsC
Fitri Arnia,FT,Metode restorasi citra manuskrip kuno berbasis histogram terekualisasi,2008,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:b1wdh0AR-JQC
Fitri Arnia,FT,Perceptual improvement of robust DCT-domain watermarking through wavelets based image fusion,2003,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:-_dYPAW6P2MC
Fitri Arnia,FT,Analysis and Comparison of Hough Transform Algorithms and Feature Detection to Find Available Parking Spaces,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:cWzG1nlazyYC
Fitri Arnia,FT,Cross-Spectral Face Matching Based on Phase Correlation,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:WJVC3Jt7v1AC
Fitri Arnia,FT,Improved cross spectral Iris matching using Gradientface based normalization,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:YohjEiUPhakC
Fitri Arnia,FT,Retrieval performance of color descriptors derived from DC components of protected JPEG images,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:oNZyr7d5Mn4C
Fitri Arnia,FT,Identification of most suitable binarisation methods for acehnese ancient manuscripts restoration software user guide,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:q3CdL3IzO_QC
Fitri Arnia,FT,Ordinal measure of Discrete Cosine Transform blocks for iris identification,2012,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:hMsQuOkrut0C
Fitri Arnia,FT,DCT sign only correlation and its application to image registration,2006,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:t7zJ5fGR-2UC
Fitri Arnia,FT,Consideration on DCT sign only correlation for image identification,2006,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:evX43VCCuoAC
Fitri Arnia,FT,Development of concise convolutional neural network for tomato plant disease classification based on leaf images,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:3htObqc8RwsC
Fitri Arnia,FT,Degradation Classification on Ancient Document Image Based on Deep Neural Networks,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:ODE9OILHJdcC
Fitri Arnia,FT,Klasifikasi Kanker Payudara Menggunakan Teknik Support Vector Machine (Svm) Pada Citra Termografi,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:dBIO0h50nwkC
Fitri Arnia,FT,Aplikasi Histogram Discrete Cosine Transform (DCT) Untuk Sistem Temu Kembali Citra Termal Berbasis Konten,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:4vMrXwiscB8C
Fitri Arnia,FT,ENKRIPSI DAN DEKRIPSI CITRA MENGGUNAKAN MODIFIKASI ALGORITMA VIGENERE CIPHER,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:86PQX7AUzd4C
Fitri Arnia,FT,Simulasi Pelacakan Titik Daya Maksimum Modul Surya dengan Metode Grey Wolf Optimization,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:FPJr55Dyh1AC
Fitri Arnia,FT,Studi Kuantisasi Bin Terhadap Metode Local Binary Pattern dan Local Binary Pattern Variance pada Deteksi Citra Asap,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:S16KYo8Pm5AC
Fitri Arnia,FT,"Pengenalan Aksara Jawi Tulisan Tangan Menggunakan Freemen Chain Code (FCC), Support Vector Machine (SVM) dan Aturan Pengambilan Keputusan",2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:p__nRnzSRKYC
Fitri Arnia,FT,Online Feature Extraction Technique for Optical Character Recognition System,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:kz9GbA2Ns4gC
Fitri Arnia,FT,Penggunaan Gray Level Co-Occurance Matrix Dari Koefisien Aproksimasi Wavelet untuk Deteksi Cacat Tekstil,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:VLnqNzywnoUC
Fitri Arnia,FT,Metode Keamanan pada Citra JPEG-Ikhtisar,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:ruyezt5ZtCIC
Fitri Arnia,FT,Penggunaan Histogram Dari Koefisien Aproksimasi Wavelet Untuk Deteksi Cacat Tekstil,2014,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:9Nmd_mFXekcC
Fitri Arnia,FT,Ordinal Measure of Discrete Cosine Transform (DCT) Coefficients and Its Application to Fingerprint Matching,2013,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:uJ-U7cs_P_0C
Fitri Arnia,FT,Metode Band-Limited Phase Only Correlation (BLPOC) untuk Identifikasi Plat Kendaraan,2012,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:vbGhcppDl1QC
Fitri Arnia,FT,ConTenT Based Image Copy DeTecTion Based On Sign of WaveleT CoefficienTs,2011,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:yB1At4FlUx8C
Fitri Arnia,FT,Fast image identification for coded images with different compression ratio,2005,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:HtEfBTGE9r8C
Fitri Arnia,FT,Improving Invisibility in DCT Domain Watermarking System Using Wavelet Based Image Fusion,2003,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:ipzZ9siozwsC
Fitri Arnia,FT,Performansi Filter Digital FIR dan IIR pada Pengolahan Sinyal Radar,,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:TIZ-Mc8IlK0C
Fitri Arnia,FT,DCNet: Noise-Robust Convolutional Neural Networks for Degradation Classification on Ancient Documents,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:LhH-TYMQEocC
Fitri Arnia,FT,The Performances of Pre-trained Convolutional Neural Networks in Clothing Sketch Classification,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:r_AWSJRzSzQC
Fitri Arnia,FT,A Conceptual Framework of Deploying a Trained CNN Model for Mobile Breast Self-Screening,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:HeT0ZceujKMC
Fitri Arnia,FT,Studi Komparasi Kinerja Teknologi Near Field Communication Pada Sistem Berbasis Android dan Embedded System,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:KbBQZpvPDL4C
Fitri Arnia,FT,Identification of male and female nutmeg seeds based on the shape and texture features of leaf images using the learning vector quantization (LVQ),2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:fFSKOagxvKUC
Fitri Arnia,FT,The over-height vehicle detection using the computer vision method,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:OR75R8vi5nAC
Fitri Arnia,FT,Performance analysis of mAlexnet by training option and activation function tuning on parking images,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:OcBU2YAGkTUC
Fitri Arnia,FT,Homomorphic Filtering and Phase-Based Matching for Cross-Spectral Cross-Distance Face Recognition,2021,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:yqoGN6RLRZoC
Fitri Arnia,FT,Performance Evaluation of Binary Classification of Tuberculosis through Unsharp Masking and Deep Learning Technique,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:HtS1dXgVpQUC
Fitri Arnia,FT,Convolutional Neural Network Customization for Parking Occupancy Detection,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:bKqednn6t2AC
Fitri Arnia,FT,Pengolahan Citra Termal untuk Identifikasi Region of Interest (ROI) dan Deteksi Kesegaran Ikan Nila (Oreochromis niloticus),2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:DJbcl8HfkQkC
Fitri Arnia,FT,Kombinasi Metode Nilai Ambang Lokal dan Global untuk Restorasi Dokumen Jawi Kuno,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:XvxMoLDsR5gC
Fitri Arnia,FT,Klasifikasi Otomatis Motif Tekstil Menggunakan Support Vector Machine Multi Kelas,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:4hFrxpcac9AC
Fitri Arnia,FT,Rekayasa Elektrika,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:QYdC8u9Cj1oC
Fitri Arnia,FT,Cross-domain Clothing Image Retrieval Based on Hybrid Shape Feature,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:2VqYfGB8ITEC
Fitri Arnia,FT,HOG of Region of Interest for Improving Clothing Retrieval Performance,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:DUooU5lO8OsC
Fitri Arnia,FT,Perbandingan Kinerja Support Vector Machine (SVM) Dalam Mengenali Wajah Menggunakan SURF DAN GLCM,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:anf4URPfarAC
Fitri Arnia,FT,Identifikasi Tingkat Kematangan Kelapa Sawit Berbasis Pencitraan Termal,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:LO7wyVUgiFcC
Fitri Arnia,FT,Rekayasa Elektrika,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:OTTXONDVkokC
Fitri Arnia,FT,Sistem Multi-Sensor Nirkabel Berbasis RFID Untuk Pemantauan Keaktifan Siswa,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:mlAyqtXpCwEC
Fitri Arnia,FT,Pengantar Teknik Pengolahan Citra dan Visi Komputer,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=20&pagesize=80&citation_for_view=B9MJSLgAAAAJ:9c2xU6iGI7YC
Fitri Arnia,FT,Metode Deteksi Kanker Payudara dengan Citra Thermal,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=100&pagesize=100&citation_for_view=B9MJSLgAAAAJ:IRz6iEL74y4C
Fitri Arnia,FT,Perbandingan Metode Penekanan Noise Lokal dan Non-Lokal untuk Binerisasi Dokumen Jawi Kuno,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=100&pagesize=100&citation_for_view=B9MJSLgAAAAJ:a9-T7VOCCH8C
Fitri Arnia,FT,A new approach for Jawi sub-word segmentation using histogram projection,2016,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&cstart=100&pagesize=100&citation_for_view=B9MJSLgAAAAJ:VaXvl8Fpj5cC
